Form Sinop
station_id,station_name,current_latitude,current_longitude,timestamp,wind_dir_deg_dd,wind_speed_ff,visibility_vv,present_weather_ww,past_weather_w1,past_weather_w2,pressure_qfe_mb_derived,temp_drybulb_c_tttttt,temp_dewpoint_c_tdtdtd,temp_wetbulb_c,temp_max_c_txtxtx,temp_min_c_tntntn,relative_humidity_pc,rainfall_last_mm,rainfall_24h_rrrr,rainfall_6h_rrr,evaporation_24hours_mm_eee,sunshine_h_sss,pressure_qff_mb_derived,qc_flag,qc_parameter
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 00,100,1,8,2,6,2,1007.3,24.8,23.1,23.6,,24.6,90,0,44.3,1.6,9999,8.3,1008.4,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 01,0,0,10,1,2,2,1007.5,27.6,23,24.3,,,76,,,,,,1008.6,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 02,0,0,10,1,2,2,1007.8,29.1,22.9,24.6,,,69,,,,,,1008.9,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 03,140,3,10,2,2,2,1007.7,31,22.7,25,,,62,0,,,,,1008.8,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 04,270,2,10,3,2,2,1007.6,31.7,22.9,25.3,,,60,,,,,,1008.7,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 05,210,4,10,1,2,1,1006.9,32.2,22.9,25.4,,,58,,,,,,1008,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 06,240,5,10,2,2,1,1006.5,32.3,23.1,25.6,,,59,0,,0,,,1007.6,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 07,200,3,10,3,2,1,1005.8,32.1,23.2,25.6,,,59,,,,,,1006.9,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 08,200,4,10,3,2,1,1005.4,31.8,23,25.4,,,60,,,,,,1006.5,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 09,210,3,10,2,2,1,1005.1,31.8,23,25.4,,,60,0,,,,,1006.2,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 10,220,4,10,2,2,2,1005.2,31.3,23.5,25.6,,,63,,,,,,1006.3,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 11,210,2,10,1,2,2,1005.6,30.2,23.2,25.1,,,66,,,,,,1006.7,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 12,220,3,10,2,2,1,1006.5,29.6,23.4,25.1,33,,70,0,,0,,,1007.6,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 13,0,0,10,2,1,1,1007.5,29.2,23.6,25.1,,,72,,,,,,1008.6,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 14,0,0,9,2,1,1,1008.1,28.9,23.8,25.2,,,74,,,,,,1009.2,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 15,30,1,9,2,1,1,1008.6,28.5,24,25.2,,,77,0,,,,,1009.7,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 16,0,0,8,3,2,1,1008.1,28.1,24.1,25.2,,,79,,,,,,1009.2,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 17,0,0,8,2,2,2,1007.5,27.6,24.2,25.1,,,82,,,,,,1008.6,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 18,310,1,9,2,2,2,1006.9,27.5,23.9,24.9,,,81,0,,0,,,1008,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 19,0,0,9,2,2,2,1006.7,27.2,23.8,24.7,,,82,,,,,,1007.8,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 20,0,0,9,2,2,2,1006.2,26.7,23.7,24.5,,,84,,,,,,1007.3,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 21,0,0,9,2,2,2,1005.1,26.3,23.3,24.1,,,83,0,,,,,1006.2,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 22,0,0,9,2,2,2,1005.4,26.2,23,23.9,,,83,,,,,,1006.5,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 23,0,0,9,2,2,2,1005.9,25.8,23,23.8,,,85,,,,,,1007,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-24 00,0,0,9,2,2,2,1006,25.6,22.7,23.5,,25,84,0,0,0,3.5,3.5,1007.1,0,
